ID,ENTITY_NAME,ACCOUNTING_STANDARD,CONSOLIDATION_TYPE,CURRENCY,FX_RATE,REVENUES,REV__GROWTH____,OPERATING_EBITDA,OPERATING_EBITDA_MARGIN____,OPERATING_EBITDAR,NET_INCOME___CORPORATES,CASH___MARKETABLE_SECURITIES,ST_DEBT,TOTAL_DEBT_WITH_EQUITY_CREDIT,TOTAL_ADJUSTED_DEBT,FUNDS_FLOW_FROM_OPERATIONS,CASH_FLOW_FROM_OPERATIONS,CAPITAL_EXPENDITURE,DIVIDENDS_PAID,FREE_CASH_FLOW,NET__ACQUISITIONS__DIVESTITURES,TOTAL_DEBT__EXCL__NON_RECOURSE_DEBT_,NET_EQUITY_PROCEEDS__BUYBACK_,FFO_INTEREST_COVERAGE__X_,FFO_FIXED_CHARGE_COVERAGE,_OPERATING_EBITDAR_CAPEX____GROSS_INT_EXP,OPERATING_EBITDA___GROSS_INTEREST_EXP_,TOTAL_ADJ__DEBT___OPERATING_EBITDAR__X_,TOTAL_DEBT_WITH_EQUITY_CREDIT___OPERATING_EBITDA,RATING
604,China Fishery Group Limited,IFRS,Con,USD,USD - USD 1.0000,555.01,-0.08,228.19,0.41,228.19,77.72,74.58,544.01,1212.93,1212.93,165.91,269.08,166.48,15.71,86.89,971.66,1212.93,277.59,5.19,5.19,-7.8,4.51,5.32,5.32,D
605,China Hongqiao Group Limited,IFRS,Con,USD,CNY - USD 6.4915,6795.03,0.22,2054.15,0.3,2055.03,562.09,1307.64,4003.15,8297.52,8304.54,1305.53,779.87,2637.29,210.73,-2068.15,0,8297.52,0,4.76,4.75,-11.65,6.12,3.93,3.93,B+
606,CIBA Speciality Chemicals Holdings Inc.,U.S. GAAP,Con,USD,CHF - USD 1.1316,6209.79,0.05,889.01,0.14,939.38,245.67,1445.74,493.99,3071.76,3474.73,757.33,557.62,259.81,0,297.81,715.8,3071.76,-317.25,8.1,6.06,-9.62,7.13,3.7,3.46,WD
607,CJSC Transtelecom Company,IFRS,Con,USD,RUB - USD 56.2584,465.14,-0.04,91.86,0.19,128.07,-4.11,42.2,77.3,325.23,614.89,58.66,96.96,90.48,1.88,4.6,0,325.23,0,2.79,1.84,-7.21,2.86,4.79,3.53,B+
608,CLISA-Compania Latinoamericana de Infraestructura ,Local GAAP,Con,USD,ARS - USD 15.9000,697.48,0.29,111,0.15,111,-49.03,71.75,97.2,346.85,346.85,79.52,122.22,27.62,0,94.61,2.25,346.85,0,2,2,-1.4,1.6,3.1,3.1,B
609,Coca-Cola European Partners US LLC,U.S. GAAP,Con,USD,EUR - USD 0.9487,9626.86,0.44,1333.4,0.13,1430.38,578.69,406.87,922.31,6824.08,7599.87,991.88,1311.27,523.87,215.03,572.36,-128.6,6824.08,-9.49,9.27,5.5,-12.04,11.5,5.31,5.12,WD
610,"Community Health Systems, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,18438,-0.05,2233,0.12,2683,-1706,238,455,15437,19037,1253,1045,744,0,301,-20,15437,-6,2.35,1.91,-3.44,2.3,7.35,7.21,CCC
611,Companhia Siderurgica Nacional (CSN),Local GAAP,Con,USD,BRL - USD 3.9042,3927.02,-0.04,600.08,0.15,600.08,413.9,2209.07,456.52,8757.28,8757.28,601.72,546.09,413.96,140.83,-8.7,-116.89,8757.28,-2.41,1.72,1.72,-1.5,0.99,11.59,11.59,B-
612,Compania Cervecerias Unidas S.A. (CCU),Local GAAP,Con,USD,CLP - USD 667.2900,2336.16,0.04,418.16,0.17,418.16,209.93,200.5,99.93,276.68,276.68,313.56,280.63,193.14,100.5,-13.02,40.62,276.68,0,13.01,13.01,-19.95,16.29,0.67,0.67,WD
613,Compania General de Electricidad S.A. (CGE),IFRS,Con,USD,CLP - USD 667.2900,2499.11,-0.19,319.19,0.12,319.19,222.59,163.27,115.71,1586.39,1586.39,263.84,408.06,268.02,32.7,107.34,-0.85,1586.39,0,4.5,4.5,-4.46,4.49,4.79,4.79,WD
614,"Constellation Brands, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,7331.5,0.11,2544.8,0.34,2604,1535.1,177.4,1517.4,9290.1,9763.7,1780.5,1696,907.4,315.1,473.5,535.7,9290.1,-1063,6.93,5.95,-10.11,8.56,3.71,3.61,WD
615,Corning Inc.,Local GAAP,Con,USD,USD - USD 1.0000,9390,0.03,2705,0.28,2810,3695,2010.6,256,5066,4756,2452,2521,1130,645,746,291,6216,-4089,14.15,9.37,-25.31,15.16,2.04,1.82,WD
616,"CPC Corporation, Taiwan",Local GAAP,Con,USD,TWD - USD 33.0060,25559.46,-0.29,880.47,0.03,1031.33,-42.9,68.73,5640.5,11031.04,12388.86,445.86,3156.34,794.11,0,2362.23,31.9,11031.04,0,5,2.69,-12.2,8.65,11.25,11.6,AA-
617,Crystal Almond Intermediary Holdings Limited (Wind,Local GAAP,Noncon,USD,EUR - USD 0.9185,514.64,-0.03,86.77,0.16,119,-100.6,77.52,0,180.73,438.54,74.36,4.79,97.22,0,-92.43,0,180.73,0,4.92,2.45,-9.37,4.58,3.69,2.08,B-
618,CS Energy Limited,IFRS,Con,USD,AUD - USD 1.0616,530.8,-0.11,30.14,0.05,69.52,-56.42,39.85,0,764.98,1040.6,-34.29,-34.29,69.8,0,-104.09,0,764.98,0,0.4,0.6,-2.5,0.5,15,25.4,AA
619,"CSC Holdings, LLC (Cablevision-U.S.)",U.S. GAAP,Noncon,USD,USD - USD 1.0000,6581.66,0.01,2196.7,0.33,2282.61,-38.72,216.14,666.81,13191.57,13878.87,1424.35,1147.04,630.3,251.26,244.48,0,13191.57,0,2.84,2.65,-4.2,2.89,6.08,6,B+
620,Cyrela Commercial Properties S.A. Empreendimentos ,Local GAAP,Con,USD,BRL - USD 3.2585,111.47,-0.01,63.47,0.56,63.47,4.41,126.88,127.37,755.59,755.59,14.36,10.55,57.09,1.7,-48.23,-63.66,755.59,0,1,1,-1.4,1,10.1,10.1,WD
621,Dean Foods Company,U.S. GAAP,Con,USD,USD - USD 1.0000,7710.23,-0.05,511.75,0.06,639.05,120.62,6.68,140.81,929.8,1948.2,342.47,257.41,144.64,32.83,79.94,143.5,929.8,-25.72,6.65,2.82,-11.65,8.45,3.05,1.82,WD
622,Diagnosticos da America S.A. - DASA,IFRS,Con,USD,BRL - USD 3.2585,933.18,0.08,162.39,0.17,205.91,29.19,202.09,122.28,437.79,655.38,194.39,204.42,82.81,6.94,114.68,78.89,437.79,0,4.6,2.99,-4.94,3.01,3.18,2.7,WD
623,Digicel Group Limited,IFRS,Noncon,USD,USD - USD 1.0000,2505.03,-0.06,1040.83,0.41,1091.15,-44.85,232.54,303.18,6459.46,6862.01,382.75,357.62,429.34,0,-71.72,-66.99,6459.46,0,1.9,1.8,-3.3,2.4,6.3,6.2,B
624,DTEK Energy B.V.,IFRS,Con,USD,UAH - USD 27.1909,4709.52,0.36,560.96,0.11,560.96,-268.55,275.39,1117.91,2493.89,2493.89,531.32,485.53,216.47,0,269.06,18.72,2493.89,0,21.9,21.9,-3.8,22.4,4.4,4.4,RD
625,Dufry AG,IFRS,Con,USD,CHF - USD 1.0178,7692.18,0.27,914.91,0.11,1299.57,2.46,344.66,125.07,4127.73,7204.95,518.57,462.17,263.71,0,198.47,-10.41,4127.73,-0.69,3.43,1.84,-7.12,4.29,5.73,4.74,WD
626,Eldorado Brasil Celulose S.A.,IFRS,Con,USD,BRL - USD 3.2585,909.1,-0.07,390.99,0.43,390.99,88.5,370.12,736.66,2793.54,2793.54,149.24,205.93,215.55,0,-9.62,0,2793.54,0,1.6,1.6,-2.4,1.8,7.1,7.1,B
627,Electronic Data Systems LLC,U.S. GAAP,Con,USD,USD - USD 1.0000,22134,0.04,2756,0.12,3317,729,3194,168,3377,7865,1809,2041,1103,102,836,461,3377,-236,8.07,3.06,-19.64,11.98,2.37,1.23,WD
628,"Empresa Generadora de Electricidad Haina, S.A.",IFRS,Con,USD,USD - USD 1.0000,332.67,-0.26,95.68,0.28,95.68,36.12,94.66,0,296.5,296.5,77.81,94.75,24.34,146.16,-75.76,-0.04,296.5,0,5.11,5.11,-5.53,5.79,3.1,3.1,WD
629,Enjoy S.A.,Local GAAP,Con,USD,CLP - USD 667.2900,409.96,0.17,80.64,0.19,88.72,-60.12,42.1,324.55,528.63,585.22,74.4,33.06,15.52,8.29,9.25,0,528.63,0,3.8,3.15,-4.74,3.05,6.6,6.55,B
630,"Exelis, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,4816,-0.12,701,0.14,778,281,469,0,649,1265,317,310,78,58,174,16,649,7,10.32,3.86,-23.14,20.62,1.63,0.93,WD
631,Far-Eastern Shipping Company Plc,IFRS,Noncon,USD,USD - USD 1.0000,1118,-0.01,159,0.14,194,-123,66,48,1116,1315.5,56,25,73,0,-48,0,1116,0,1.48,1.36,-2.44,1.59,6.42,6.56,RD
632,Ferrexpo plc,IFRS,Con,USD,USD - USD 1.0000,1388.3,-0.12,414.6,0.29,416.6,178.3,616.5,248.3,1304.5,1316.5,308.9,293.6,234.5,76.9,-17.8,0,1304.5,0,6,5.84,-11.2,6.81,3.14,3.12,B-
633,First Data Corp.,U.S. GAAP,Con,USD,USD - USD 1.0000,11584,0.01,2987,0.25,3066,420,12,358,18645,19277,1841,1795,477,0,1318,-32,18645,23,2.78,2.66,-3.08,2.88,6.31,6.27,B+
634,First Quantum Minerals Ltd.,U.S. GAAP,Con,USD,USD - USD 1.0000,2698,-0.23,610,0.22,610,-496,245,386,5789,5789,366,543,1565,39,-1061,0,5789,1121,2.17,2.17,-94.48,1.95,9.52,9.52,B
635,Fluor Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,19036.53,0.05,865.24,0.04,957.24,281.4,1961.47,82.24,1611.82,2347.82,782.73,657.09,235.9,118,303.19,159.58,1611.82,-6.06,11.63,5.67,-16.42,11.33,2.58,1.97,WD
636,Freeport Minerals Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,11910.4,0.43,4686.2,0.39,4724.7,2981.9,4947.4,121.8,891.9,1199.9,5402,5079.2,1245.5,1434.3,2399.4,-692.9,891.9,27.4,42.16,32.58,-314.22,36.9,0.25,0.19,WD
637,Frontera Energy Corporation,Local GAAP,Con,USD,USD - USD 1.0000,1411.71,-0.5,339.51,0.24,339.51,2448.52,389.1,3.71,272.94,272.94,154.6,-117.23,162.62,41.85,-321.7,-2.35,272.94,0,2.19,2.19,-5.03,3.72,0.59,0.59,B+
638,Frontier Communications Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,8896,0.59,3470,0.39,3607,-373,522,363,18178,17349,1493,1452,1401,707,-442,9871,20103,0,1.89,1.82,-3.25,2.37,5.34,5.24,B+
639,Garda World Security Corporation,IFRS,Con,USD,CAD - USD 1.3030,1898.89,0.15,277.77,0.14,318.14,71.07,53.18,41.44,1426.12,1749,158.71,161.28,43.16,0.1,118.02,12.64,1426.12,0,2.79,2.23,-3.41,3.13,5.5,5.13,B+
640,General Electric Company,U.S. GAAP,Noncon,USD,USD - USD 1.0000,110835,0.04,13301,0.12,14829,9127,2025,8787,32818,41980,11973,9165,3758,8474,-3157,-4166,32824,-21429,7.83,4.65,-9.87,8.39,2.59,2.23,AA-
641,General Shopping Brasil S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,79.55,-0.01,53.1,0.66,53.1,-169.39,18.34,40.91,489.69,421.63,-9.78,-14.09,0,0,-14.09,-36.26,557.74,2.93,0.7,0.7,-0.8,1.3,9.2,9.2,CC
642,GeoPark Limited,IFRS,Con,USD,USD - USD 1.0000,192.67,-0.08,74.95,0.38,78.82,-49.09,73.56,39.28,358.67,389.62,54.96,50.99,39.31,0,11.68,0,358.67,-1.99,3.07,2.8,-3.65,2.69,5.38,5.23,B
643,GOL Linhas Aereas Inteligentes S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,3028.18,0,351.15,0.11,657.09,338.3,304.88,256.34,1957.72,4099.28,112.83,-31.96,-29.79,50.06,-52.23,0,1957.72,-8.48,1.4,1.1,-2.3,1.9,6.2,5.6,B
644,Grupo Aldesa,Local GAAP,Noncon,USD,EUR - USD 0.9487,841.32,-0.03,36.77,0.04,38.35,-26.67,116.95,105.98,380.54,393.19,15.57,-24.88,8.24,0,-54.42,-2.74,380.54,0,1.3,1.3,-1.3,1.1,10.3,10.3,B
645,"Grupo Embotellador Atic, S.A.",Local GAAP,Con,USD,EUR - USD 0.9487,763.21,0,112.95,0.14,112.95,34.35,22.8,20.63,571.05,571.05,76.79,13.3,37.92,0,-34.91,-50.88,571.05,0,3.03,3.03,-4.06,3.4,5.06,5.06,B-
646,"Grupo Famsa, S.A.B. de C.V.",Local GAAP,Con,USD,MXN - USD 20.7314,846.24,0.07,68.07,0.08,116.2,16.59,72.53,194.2,482.39,771.15,268.96,-24.34,8.19,0,-32.53,0,482.39,-0.08,7,3.9,-2.8,1.5,6.6,7.1,B-
647,"Grupo GICSA, S.A.B. de C.V.",IFRS,Noncon,USD,MXN - USD 20.7314,178.49,0.07,120.93,0.67,120.93,28.77,269.57,20.57,886.35,886.35,11.22,7.87,86.42,0,-78.54,0.9,886.35,143.35,1.1,1.1,-4.9,4.4,7.3,7.3,WD
648,"Grupo IDESA, S.A. de C.V. ",Local GAAP,Noncon,USD,MXN - USD 20.7314,444.62,0.02,36.43,0.08,36.43,-60.29,29.37,30.28,453.4,453.4,4.59,-7.15,12.32,0.96,-20.42,-4.87,453.4,21.21,1.1,1.1,-1.53,1.45,12.44,12.44,B-
649,"Grupo Kaltex, S.A. de C.V.",IFRS,Noncon,USD,MXN - USD 20.7314,845.07,0.1,98.12,0.11,122.77,-21.54,35.36,181.05,404.16,552.08,35.37,49.94,27.08,0,22.86,0,404.16,0,2.7,1.8,-4.5,4.8,4.5,4.1,B+
650,"Grupo Posadas, S.A.B. De C.V.",Local GAAP,Con,USD,MXN - USD 20.7314,373.06,0.12,74.33,0.19,95.8,-34.01,63.67,0,379.71,508.5,56.87,53.16,33.91,0,19.25,-12.59,379.71,0,2.65,2,-4.17,2.24,5.31,5.11,B
651,"Hawaiian Holdings, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,2450.58,0.05,622.39,0.25,815.39,235.44,558.81,58.9,570.61,2114.61,429.28,417.37,184.93,0,232.44,0,570.61,-13.76,15.29,2.91,-27.32,20.92,2.59,0.92,B+
652,"Hovnanian Enterprises, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,2679.6,0.28,197.7,0.07,210.5,-2.9,316.9,149.8,1891.2,1993.6,29.6,387.6,8,0,379.6,-0.8,1891.2,0,1.18,1.17,-1.2,1.19,9.43,9.52,CCC
653,HP Pelzer Holding GmbH,,,USD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WD
654,Ideal Standard International SA,IFRS,Con,USD,EUR - USD 0.9487,778.96,0.01,71.68,0.09,85.7,-262.99,40.9,80.95,652.47,-1494.47,31.2,14.02,27.51,1.26,-14.76,-6.64,2911.56,0,10.26,2.37,-0.37,28.78,9.12,9.35,CC
655,"iHeartCommunications, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,6273.57,0,1807.45,0.28,2927.45,-296.32,845.03,342.91,20655.12,29615.12,-110.16,-103.61,314.72,0,-418.33,-856.48,20655.12,0,0.94,0.96,-1.7,0.97,10.44,12.02,C
656,Indiabulls Real Estate Limited,Local GAAP,Con,USD,INR - USD 66.3329,414.26,0,123.92,0.29,125.65,45.99,178.88,175.92,916.6,930.48,46.33,40.53,3.99,0,36.55,-0.29,916.6,80.41,1.41,1.4,-2.49,1.24,7.35,7.34,B+
657,Intercement Participacoes S.A.,IFRS,Noncon,USD,EUR - USD 0.9487,1942.64,-0.26,402.21,0.2,402.21,-690.84,622.54,435.66,3473.04,3473.04,-73.75,-63.07,122.36,56.71,-242.15,-84.17,3473.04,0,0.7,0.7,-1.9,1.6,8.6,8.6,B+
658,Intralot S.A.,IFRS,Con,USD,EUR - USD 0.9487,1395.17,0.07,185.31,0.13,193.74,-75.58,173.29,15.6,695.06,762.52,70.73,75.79,68.94,0,-15.18,-7.48,695.06,-4.74,1.95,1.84,-2.38,2.15,5.07,4.9,B+
659,Inversiones y Representaciones S.A.,Local GAAP,Con,USD,ARS - USD 15.0000,296.4,-0.02,198.4,0.66,198.4,-124.8,8.6,187.53,615.33,615.33,56.93,24.33,138.53,7.07,-121.27,0,615.33,0,1.5,1.5,-3.5,2,3.3,3.3,B
660,IRSA Propiedades Comerciales S.A.,Local GAAP,Con,USD,ARS - USD 15.0000,178.32,0.39,133.21,0.74,133.21,60.78,37.86,41.77,392.87,392.87,75.02,46.31,12.2,18.91,15.21,4.73,392.87,0,4.9,4.9,-3.4,6.9,3.1,3.1,B
661,"J. C. Penney Company, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,12547,0,1044,0.08,1296,1,887,278,4899,6915,562,334,427,0,-93,-98,4899,2,2.63,1.94,-4.75,3.04,5.34,4.69,B+
662,Jalles Machado S.A. ,IFRS,Noncon,USD,BRL - USD 3.1241,226.77,-0.01,154.06,0.67,173.24,33.95,106.98,110.37,367.74,463.63,73.08,75.98,88.15,0,-12.17,-0.22,367.74,-0.23,2.7,2.2,-6.2,4,2.7,2.4,B+
663,Johnson & Johnson,U.S. GAAP,Con,USD,USD - USD 1.0000,71890,0.02,25871,0.35,26201,16540,10476.7,4684,27231,29871,19425,18767,3226,8621,6920,4509,27231,-7790,27.11,18.98,-35.54,35.44,1.14,1.05,AAA
664,"Jones Energy, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,260.11,-0.23,203.5,0.78,205.1,-42.55,34.64,0,826.12,838.92,140.9,156.35,264.46,18.93,-125.43,-1.33,826.12,153.43,3.54,3.47,-8.84,3.78,4.09,4.06,B-
665,JSC Holding Company United Confectioners,IFRS,Con,USD,RUB - USD 60.6569,1044.95,0.03,79.12,0.07,82.06,56.1,39.98,83.8,230.73,248.38,45.95,43.3,31.44,0,11.86,8.77,230.73,28.03,2.37,2.24,-4.21,2.98,3.03,2.92,B
666,KB Home (formerly Kaufman and Broad Home Corp.),U.S. GAAP,Con,USD,USD - USD 1.0000,3582.9,0.18,387,0.1,394.5,105.6,442.1,0,2661.9,2721.9,235.3,188.7,4.8,8.6,175.3,0,2661.9,-83.1,2.27,2.22,-2.39,2.09,6.9,6.88,B+
667,Kernel Holding S.A.,IFRS,Con,USD,USD - USD 1.0000,1988.52,-0.14,321.43,0.16,356.1,242.19,30.27,259.02,343.14,516.51,222.81,133.72,34.39,19.92,79.41,26.34,343.14,0,4.87,3.42,-6.84,5.58,1.45,1.07,B+
668,KMG International NV,IAS,Con,USD,USD - USD 1.0000,5706.1,-0.1,161.5,0.02,166.9,-9.7,73.1,299.3,608.4,646.2,165.1,169.5,100.7,25.4,43.4,-0.4,608.4,0,6.7,5.8,-13.2,5.6,3.9,3.8,B+
669,"Korea East-West Power Co., Ltd.",Local GAAP,Noncon,USD,KRW - USD 1099.3000,4160.19,-0.15,666.52,0.16,666.52,144.46,110.25,56.31,3567.09,3567.09,606.66,673.25,1385.43,7.64,-719.82,0,3567.09,0,7.34,7.34,-19.91,7,5.35,5.35,AA-
670,Korea Electric Power Corporation,Local GAAP,Con,USD,KRW - USD 1099.3000,52283.18,0.06,12427,0.23,12427,2444.19,1699.26,6614.94,58156.74,58156.74,12214.32,10957.61,13295.82,170.11,-2508.32,0,58156.74,775.95,6.39,6.39,-8.87,5.56,4.67,4.67,AA-
671,Korea Gas Corporation,Local GAAP,Con,USD,KRW - USD 1172.5000,22219.79,-0.3,2008.19,0.09,2008.19,272.58,121.79,3557.1,24630.36,24630.36,1364.78,4653.39,2085.03,18.68,2549.68,-1.96,24630.36,0,2.61,2.61,-4.62,2.54,11.64,11.64,AA-
672,"Korea Hydro & Nuclear Power Co., Ltd.",Local GAAP,Noncon,USD,KRW - USD 1099.3000,8645.05,0.48,4948.51,0.57,4948.51,1311.93,162.92,915.86,9019.74,9019.74,5201.95,2945.51,2013.1,0,932.41,0,9019.74,0,16.53,16.53,-7.96,14.81,1.82,1.82,AA-
673,"Korea Midland Power Co., Ltd.",Local GAAP,Noncon,USD,KRW - USD 1099.3000,4650.23,-0.1,528.43,0.11,528.43,104.07,95.79,320.66,2890.48,2890.48,566.09,412.54,1139.63,13.65,-740.74,0,2890.48,3,6.98,6.98,-16.74,5.83,5.37,5.37,AA-
674,Korea National Oil Corporation,IFRS,Noncon,USD,KRW - USD 1172.5000,2928.08,-0.21,1033.86,0.35,1033.86,-3838.19,670.35,2848.24,12154.83,12154.83,685.5,197.34,1285.78,9.65,-1098.1,7.31,12154.83,98.87,2.96,2.96,-6.08,3.01,11.72,11.72,AA-
675,"Korea South-East Power Co., Ltd.",Local GAAP,Noncon,USD,KRW - USD 1099.3000,4076.05,0.07,902.03,0.22,902.03,377.79,205.68,319.75,3610.02,3610.02,1083.51,907.21,702.9,47.76,156.55,0,3610.02,0,10.43,10.43,-15.23,9.84,3.22,3.22,AA-
676,"Korea Southern Power Co., Ltd.",Local GAAP,Noncon,USD,KRW - USD 1099.3000,5679.61,-0.12,564.72,0.09,564.72,58.22,9.82,102.97,3856,3856,548.08,392.16,1716.18,28.02,-1352.04,0,3856,0,5.87,5.87,-19.81,5.07,6.8,6.8,AA-
677,Korea Water Resources Corporation,IFRS,Con,USD,KRW - USD 1172.5000,3221.62,0.02,881.64,0.27,881.64,-4945.66,157.62,1175.9,9961.71,9961.71,856.94,576.72,607.41,67.37,-98.05,-1.79,9961.71,155.61,3.1,3.1,-3.66,2.18,11.3,11.3,WD
678,"Korea Western Power Co., Ltd.",Local GAAP,Noncon,USD,KRW - USD 1099.3000,4406.9,-0.15,547.53,0.12,547.53,139.45,74.77,91.33,3569.82,3569.82,590.1,550.9,1626.22,29.11,-1104.43,0,3569.82,0,11.27,11.27,-18.91,9.67,6.49,6.49,AA-
679,Kosmos Energy Ltd.,U.S. GAAP,Noncon,USD,USD - USD 1.0000,855.88,0,623.67,0.72,628.27,279.37,529.83,0,794.27,831.07,497.07,423.01,406.34,0,16.67,58.31,794.27,-11.1,12.4,11.3,-17.9,14.3,1.3,1.3,B
680,"Kronos International Inc. (Valhi, Inc.Unit)",U.S. GAAP,Con,USD,USD - USD 1.0000,1407.6,0.4,420.6,0.29,426.6,230.1,19.9,2.2,365.1,413.1,374,212.1,61.8,0,150.3,0,365.1,0,11.65,10.09,-14.62,11.98,0.97,0.87,B+
681,"Kronos Worldwide, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,1364.3,0.01,112.2,0.08,126.2,43.3,36.9,3.6,343.5,455.5,102.6,89.6,53,69.5,-32.9,0,343.5,0,6.54,4.15,-8.92,6.29,3.51,2.97,B+
682,LATAM Airlines Group S.A.,IFRS,Con,USD,USD - USD 1.0000,9527.09,-0.05,1528.23,0.16,2097.21,110.67,1662.15,1839.53,8636.48,12619.33,925.98,707.17,782.96,41.22,-230.34,-76.08,8636.48,608.5,3.3,1.9,-6.9,3.8,6,5.7,B+
683,"M/I Homes, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,1649.3,0.19,121.7,0.07,128,57.2,0,0,490.5,492.7,92.6,30,13.1,4.9,16.9,0,538.7,0.2,3.3,2.99,-3.92,3.45,4.23,4.03,B+
684,Masisa S.A.,Local GAAP,Con,USD,USD - USD 1.0000,917.46,-0.09,118.79,0.12,118.79,-0.15,64.41,178.47,731.4,731.4,37.58,51.79,61.29,4.58,-14.08,-61.71,731.4,0,1.9,1.9,-3.19,2.9,6.16,6.16,B+
685,Mastellone Hermanos Sociedad Anonima,Local GAAP,Noncon,USD,ARS - USD 15.9000,1114.66,0.25,66.49,0.05,66.49,-6,13.93,5.89,201,201,60.49,7.66,23.96,0,-16.3,-0.11,201,0,3.16,3.16,-3.83,2.6,3.02,3.02,B-
686,"McGraw-Hill Global Education Holdings, LLC",,,USD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B+
687,"Meritor, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,3199,-0.08,296,0.09,311,577,160,234,1254,1374,181,244,93,0,146,-4,1254,-81,3.55,3.1,-5.25,4.69,3.95,3.77,B+
688,Metinvest B.V.,IFRS,Con,USD,USD - USD 1.0000,12807,0.01,2147,0.16,2147,158,783,1808,4308,4308,1671,1525,763,544,218,979,4308,0,7.42,7.42,-12.07,8.55,2.01,2.01,B
689,MHP SE,IFRS,Con,USD,USD - USD 1.0000,1135.46,0.06,375.94,0.33,394.14,62.99,129.57,244.85,1235.36,1326.39,333.36,345.24,107.13,80,158.11,-1.2,1235.36,0,4.15,3.69,-4.65,3.54,3.4,3.32,B
690,Microsoft Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,89950,0.05,34676,0.38,35976,21204,4686,10234,89379,99779,40301,39507,8129,11845,19533,25944,89379,-11016,25.32,14.42,-19.85,21.67,2.77,2.58,AA+
691,MIE Holdings Corporation,IFRS,Con,USD,CNY - USD 6.1024,533.57,-0.06,291.5,0.54,293.79,46.38,44.99,9.83,598.04,616.33,204.53,198.6,230.88,20.38,-52.65,19.59,598.04,0.19,5.66,5.47,-9.67,5.38,2.1,2.05,CC
692,Naspers Limited,IFRS,Noncon,USD,USD - USD 1.0000,5930,-0.09,423,0.07,461,1383,1404,70,3763,4010,49,-34,257,140,-431,965,3763,2457,1.01,1.01,-2.57,1.85,8.13,8.27,WD
693,Natura Cosmeticos S.A.,IFRS,Con,USD,BRL - USD 2.6556,2789.74,0.05,588.71,0.21,588.71,279.12,638.65,432.89,1379.8,1379.8,375.92,285.23,190.43,284.88,-190.08,0,1379.8,2.27,8.3,8.3,-12.3,11.4,2.3,2.3,WD
694,Navistar International Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,7976,-0.2,369,0.04,422,-97,294,71,3291,3715,-146,-164,114,0,-278,0,3291,0,0.36,0.48,-2.14,1.68,8.56,8.64,B-
695,Nestle SA,IAS,Con,USD,CHF - USD 0.9921,89792.36,-0.03,16691.87,0.18,17171.66,9138.19,5113.4,9705.67,21399.05,25237.38,13455.3,14100.39,4328.19,7005.34,2766.86,363.87,21399.05,-6427.78,26.44,14.31,-29.46,31.79,1.47,1.28,AA-
696,New Look Retail Group Ltd,IFRS,Noncon,USD,GBP - USD 0.6943,2146.91,0.05,323.92,0.15,557.4,-49.55,109.17,0,1743.05,3610.83,220.65,241.83,104.13,13.11,-1.87,0,1743.05,0,2.87,1.62,-5.13,2.8,6.48,5.38,CCC
697,NGL Energy Partners LP,U.S. GAAP,Noncon,USD,USD - USD 1.0000,13022.23,0.1,343.52,0.02,467.82,136.81,12.26,29.59,3144.03,4020.93,195.74,-26.82,363.87,181.58,-572.28,71.27,3261.53,522.11,2.26,1.69,-5.55,2.94,8.78,9.06,B
698,NH Hotel Group S.A.,IFRS,Con,USD,EUR - USD 0.7251,1738.37,-0.01,124.29,0.07,507.67,-82.44,170.83,137.51,1212.64,4279.74,-21.16,-26.49,54.61,0,-81.1,-194.99,1212.64,0,0.72,0.94,-5.26,1.3,8.43,9.76,B
699,NHPC Limited,Local GAAP,Con,USD,INR - USD 60.0998,1233.94,0.18,729.33,0.59,729.33,202.79,1159.29,0,3464.15,3464.15,501.85,533.6,374.36,223.55,-64.31,0,3464.15,-387.29,2.25,2.25,-4,2.71,4.75,4.75,WD
700,NJSC Naftogaz of Ukraine,IAS,Con,USD,UAH - USD 15.7686,4974.7,0.04,-1413.19,-0.28,-1413.19,-5604.37,276.56,2208.19,3868.95,3868.95,-1272.02,-4284.4,184.48,0,-4468.88,0,3868.95,6126.73,-1.59,-1.59,2.22,-2.82,-2.74,-2.74,CCC
